Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.988E-34,-0.017081,3.8741E-19,0,0,0,0.92342,0.0014784,-1.0796E-35,1.5674E-35,0.0023047,-1.9374E-20,0.0014784,0,0,0,0,0,0,package://handler/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/base_link.STL,,J0-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,-0.010562,0.058034,2.1487E-08,0,0,0,2.1518,0.0052232,0.0006223,-3.1183E-09,0.0067656,5.2126E-09,0.0060009,0,0,0,0,0,0,package://handler/meshes/L1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/L1.STL,,J1-3,Origin_J1,Axis_J1,J1,revolute,0,0,0.01,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,1,1,,,,
L2,0.059363,8.6014E-08,-0.19267,0,0,0,2.3432,0.077054,4.3641E-10,0.00086007,0.077511,7.6816E-09,0.0023404,0,0,0,0,0,0,package://handler/meshes/L2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/L2.STL,,J2-2,Origin_J2,Axis_J2,J2,revolute,-0.09,0.07,0,-1.5708,0,3.1416,L1,1,0,0,0,0,0,0,,,1,1,,,,
L3,-0.029308,0.14601,-1.9972E-07,0,0,0,1.2035,0.023041,0.0002755,5.9887E-09,0.00076928,6.6759E-09,0.023199,0,0,0,0,0,0,package://handler/meshes/L3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/L3.STL,,J3-1,Origin_J3,Axis_J3,J3,revolute,0,0,-0.45,-1.5708,0,0,L2,1,0,0,0,0,0,0,,,1,1,,,,
L4,0.038122,-6.5766E-09,0.0090201,0,0,0,0.23425,0.00015933,3.1181E-11,-3.9672E-06,0.00018421,-1.9002E-11,0.0001233,0,0,0,0,0,0,package://handler/meshes/L4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/L4.STL,,J4-1,Origin_J4,Axis_J4,J4,revolute,0,0.35,0,0,0,0,L3,1,0,0,0,0,0,0,,,1,1,,,,
L5,0.027463,-8.8585E-09,-0.033154,0,0,0,0.20423,6.697E-05,-1.8659E-10,1.0354E-05,0.0002833,2.5719E-10,0.00026912,0,0,0,0,0,0,package://handler/meshes/L5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/L5.STL,,J5-1,Origin_J5,Axis_J5,J5,revolute,0.04,0,0.05,3.1416,0,1.5708,L4,0,0,1,0,0,0,0,,,1,1,,,,
L6,-1.3878E-17,0.01201,8.3267E-17,0,0,0,0.02287,3.033E-06,2.7708E-22,6.3545E-37,3.6242E-06,7.5673E-22,3.033E-06,0,0,0,0,0,0,package://handler/meshes/L6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handler/meshes/L6.STL,,J6-1,Origin_J6,Axis_J6,J6,revolute,0.095,0,-0.035,1.5708,1.5708,0,L5,0,1,0,0,0,0,0,,,1,1,,,,
