Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.9228E-19,0.057416,0.00026601,0,0,0,1.2659,0.0041167,1.7022E-19,-1.4674E-19,0.0027026,-2.6126E-05,0.0031757,0,0,0,0,0,0,package://scara/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/base_link.STL,,J0_scara-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,0.067038,0.023797,-3.8903E-18,0,0,0,0.23993,5.7474E-05,-5.325E-06,3.6951E-20,0.00068723,-2.0839E-21,0.00066974,0,0,0,0,0,0,package://scara/meshes/L1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/L1.STL,,J1_scara-1,Origin_J1,Axis_J1,J1,revolute,0,0.035,0.13,1.5708,0,1.5708,base_link,0,1,0,5,1,-3.141,3.141,,,,,,,,
L2,0.065399,0.047234,-3.984E-08,0,0,0,0.76354,0.00057749,8.8165E-05,-6.814E-10,0.0023115,8.1844E-10,0.00252,0,0,0,0,0,0,package://scara/meshes/L2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/L2.STL,,J2_scara-1,Origin_J2,Axis_J2,J2,revolute,0.14577,0.03,0,0,0,0,L1,0,1,0,5,1,-3.141,3.141,,,,,,,,
L3,5.5511E-17,-0.025,7.9337E-17,0,0,0,0.0088357,2.4068E-06,-8.4801E-38,7.053E-38,1.1321E-06,-4.208E-22,2.4068E-06,0,0,0,0,0,0,package://scara/meshes/L3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/L3.STL,,J3_scara-2,Origin_J3,Axis_J3,J3,revolute,0.15,0.01,0,0,0,3.1416,L2,0,1,0,5,1,-3.141,3.141,,,,,,,,
L4,-2.7756E-16,0.06838,2.6195E-17,0,0,0,0.079259,0.00031643,2.2941E-21,0,7.481E-06,-7.5439E-20,0.00031643,0,0,0,0,0,0,package://scara/meshes/L4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/L4.STL,,J4_scara-1,Origin_J4,Axis_J4,J4,prismatic,0,0,0,0,0,0,L3,0,1,0,5,1,-0.12,0,,,,,,,,
