Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1824E-34,0.0020988,-8.1451E-18,0,0,0,0.50894,0.001056,-2.9324E-36,7.2641E-36,0.0020612,2.0746E-20,0.001056,0,0,0,0,0,0,package://polisher/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://polisher/meshes/base_link.STL,,J0_Polish-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,2.609E-07,0.069404,3.3533E-08,0,0,0,2.6203,0.01468,-4.4372E-08,-6.9928E-10,0.011798,-7.3338E-10,0.011038,0,0,0,0,0,0,package://polisher/meshes/L1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://polisher/meshes/L1.STL,,J1_Polish-1,Origin_J1,Axis_J1,J1,revolute,0,0,0.01,1.5708,0,0,base_link,0,1,0,5,1,-3.141,3.141,,,,,,,,
L2,2.5758E-09,-2.0066E-08,-0.17282,0,0,0,3.6365,0.077736,-1.0778E-10,-4.0562E-10,0.078819,1.4721E-08,0.0059647,0,0,0,0,0,0,package://polisher/meshes/L2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://polisher/meshes/L2.STL,,J2_Polish-1,Origin_J2,Axis_J2,J2,revolute,0,0.13062,0,1.5708,-1.5708,0,L1,1,0,0,5,1,-3.141,3.141,,,,,,,,
L3,0.01,7.4465E-08,-0.11079,0,0,0,2.2512,0.019258,-2.3005E-09,4.644E-09,0.020386,1.9429E-09,0.0030744,0,0,0,0,0,0,package://polisher/meshes/L3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://polisher/meshes/L3.STL,,J3_Polish-1,Origin_J3,Axis_J3,J3,revolute,0,0,-0.425,0,0,-3.1416,L2,1,0,0,5,1,-3.141,3.141,,,,,,,,
L4,-0.01,5.9649E-08,-0.0081105,0,0,0,0.22465,0.00012689,-1.3381E-10,-6.8739E-12,0.00017646,7.2481E-11,0.00013362,0,0,0,0,0,0,package://polisher/meshes/L4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://polisher/meshes/L4.STL,,J4_Polish-1,Origin_J4,Axis_J4,J4,revolute,0,0,-0.3,0,0,3.1416,L3,1,0,0,5,1,-3.141,3.141,,,,,,,,
L5,1.2143E-17,-4.5869E-16,-0.058396,0,0,0,0.16928,0.00020457,8.4957E-21,1.5658E-20,0.00020457,3.1565E-21,0.00010248,0,0,0,0,0,0,package://polisher/meshes/L5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://polisher/meshes/L5.STL,,J5_Polish-1,Origin_J5,Axis_J5,J5,revolute,-0.01,0,-0.045,0,0,-3.1416,L4,0,0,1,5,1,-3.141,3.141,,,,,,,,
