Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-0.00720869445927974,0.0598778067112673,-0.00909555708398103,0,0,0,2.17337480787328,0.00588682864618151,-2.52029313306524E-35,-3.25439812748976E-35,0.00915848812879676,6.58977212252909E-20,0.00588682864618151,0,0,0,0,0,0,package://robot/meshes/Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Base.STL,,BASE-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Base_Link,-4.37610926571318E-07,0.0991451963514957,0.00793213930094456,0,0,0,5.63643739815513,0.0359740700692069,1.41414673215612E-08,-1.35740235780724E-07,0.0316669062287972,-0.000313578444407717,0.0234867978942921,0,0,0,0,0,0,package://robot/meshes/Base_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Base_Link.STL,,BaseJoint-2,Origin_Base_Joint,Axis_Base_Joint,Base_Joint,revolute,-0.0072087,0.0090956,0.098987,1.5708,0,-2.1682,Base,0,1,0,0,0,0,0,,,,,,,,
Shoulder_Link,-2.42485247187174E-07,0.377510205205091,0.403179608390412,0,0,0,11.390964915207,1.1739329091764,-8.60865179986778E-07,3.80916543585297E-07,0.0293567974622381,0.00557038935850324,1.16702161436273,0,0,0,0,0,0,package://robot/meshes/Shoulder_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Shoulder_Link.STL,,shoulderJoint-2,Origin_Shoulder_Joint,Axis_Shoulder_Joint,Shoulder_Joint,revolute,0,0.10616,-0.17191,0,0,-0.59604,Base_Link,0,0,1,0,0,0,0,,,,,,,,
Elbow_Link,-2.21918825205059E-07,0.25931644338234,0.302613154963713,0,0,0,7.4582948984426,0.43871302799289,1.3682374694346E-07,9.96620512921931E-08,0.435767614490805,-0.000803244687696764,0.0141463853829773,0,0,0,0,0,0,package://robot/meshes/Elbow_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Elbow_Link.STL,,elbow-2,Origin_Elbow_Joint,Axis_Elbow_Joint,Elbow_Joint,revolute,0,0.81358,-0.030525,1.5708,0,1.0135,Shoulder_Link,0,1,0,0,0,0,0,,,,,,,,
Wrist1_Link,-1.67102628123583E-08,0.129546133678737,0.0151390955773307,0,0,0,0.887360774259334,0.00160602282113508,-7.55980201128017E-10,-2.17218405136371E-09,0.00137933118615523,-3.55198168682165E-05,0.00116601449286818,0,0,0,0,0,0,package://robot/meshes/Wrist1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Wrist1_Link.STL,,wrist-2,Origin_Wrist1_Joint,Axis_Wrist1_Joint,Wrist1_Joint,revolute,0,0.28035,0.63091,-3.1416,1.3996,-3.1416,Elbow_Link,0,1,0,0,0,0,0,,,,,,,,
Wrist2_Link,1.51118002167383E-07,0.0686295948588763,0.015139121968226,0,0,0,0.887359407969487,0.00160602213016229,-3.8101292455274E-10,-9.8162630485872E-10,0.00137933108441882,-3.55209003249813E-05,0.00116601371834944,0,0,0,0,0,0,package://robot/meshes/Wrist2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Wrist2_Link.STL,,wrist-3,Origin_Wrist2_Joint,Axis_Wrist2_Joint,Wrist2_Joint,revolute,0,0.13209,0.058822,1.5708,0,-1.9069,Wrist1_Link,0,1,0,0,0,0,0,,,,,,,,
Flansch_Link,-5.28827474388649E-06,-2.26024118803458E-05,0.0526235093812261,0,0,0,0.132152328926578,7.32172316049265E-05,2.5925556541559E-08,4.73918211936661E-09,7.31099485490114E-05,2.02555562092749E-08,0.000130599256993017,0,0,0,0,0,0,package://robot/meshes/Flansch_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/Flansch_Link.STL,,flansch-2,Origin_Flansch_Joint,Axis_Flansch_Joint,Flansch_Joint,revolute,0,0.071178,0.033347,0,0,0.37885,Wrist2_Link,0,0,1,0,0,0,0,,,,,,,,
